Response ID,describe_concern_newest_app,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
27,i like earning cash back so i am not that concerned,unconcerned,app_beneficial,,,,,,
29,none,,,,,,,,
30,,,,,,,,,
31,I don't have any,unconcerned,,,,,,,
32,i for sure have no concerns with samsung,unconcerned,,,,,,,
34,,,,,,,,,
35,"I don't use Samsung Experience Service frequently enough. In fact, I only remember it being a nuisance. I don't think any of this data is necessary for them to know because it doesn't improve my user experience to my knowledge.",infrequent_use,concerned->unecessary_access_to_data,concerned,,,,,
36,I don't remember authorizing this app to have access to my google account. I am worried they might use my information for nefarious things..,do_not_recall_authorizing,concerned->misuse,concerned,,,,,
37,,,,,,,,,
38,"I dont really have that many concerns. I use my mac and my iPhone everyday for work, so it is necessary for them to have access to my google account. Plus, I am the only one to have access to these devices.",unconcerned,,,,,,,
39,,,,,,,,,
40,I don't have a RingCentral so I don't like this.,concerned,,,,,,,
41,,,,,,,,,
42,I don't remember granting access and they have access to my photos.,do_not_recall_authorizing->permission,do_not_recall_authorizing,,,,,,
43,,,,,,,,,
44,"I might would like to dial down the ""personal info"" but everything else is standard.",will_remove_app_access,,,,,,,
45,I don't have any concerns.,unconcerned,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,This is a keyboard that I use for my phone so it makes sense that it knows my email. I am concerned that the app can see information that it doesn't need to see.,concerned->unecessary_access_to_data,concerned,,,,,,
50,,,,,,,,,
51,,,,,,,,,
52,I was unaware these permissions were still on the app as I've deleted the app. I wonder how common that is? That's my concern here.,concerned->permissions->delete,concerned,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
57,"Google is sketchy, but I need this to do programming stuff.",app_beneficial,,,,,,,
58,My data and digital footsteps can be viewed.,concerned->personal_data,concerned,,,,,,
59,,,,,,,,,
60,,,,,,,,,
61,"Not sure, daughter downloads games on shared tablet.",unconcerned,,,,,,,
62,I didn't think I ever installed anything from similarweb.,do_not_recall_authorizing->app,do_not_recall_authorizing,,,,,,
63,,,,,,,,,
64,This is some junk game that was downloaded with Cashmagnet.,app_not_beneficial,,,,,,,
65,I have no concerns about Clash Royale.,unconcerned,,,,,,,
66,,,,,,,,,
67,"I have none, it was just for signing leases in Austin.",unconcerned,,,,,,,
68,,,,,,,,,
69,"My concerns are no more, really, than what I feel for other apps that (presumably) hold, at least, millions of dollars of consumer money.
 Even if I don't like this particular app itself, I'm going to try not to conflate my feelings for it, to being statements-of-fact of its overall operations.
 

 Even if I did.. ..what can I—a plebeian—, by myself, do against that which is backed by so much money and, likely, by so many people who, from what I gather, value profit over people?",unconcerned,resigned,,,,,,
70,,,,,,,,,
71,,,,,,,,,
72,I don't have any concerns with Coin Dozer - Free Prizes having this permission.,unconcerned,,,,,,,
73,No concerns,,,,,,,,
74,,,,,,,,,
75,,,,,,,,,
76,I don't want Lumin app because I don't use it.,infrequent_use,,,,,,,
77,,,,,,,,,
78,None,unconcerned,,,,,,,
79,I dont want them having access to my personal information.,concerned->personal_data,concerned,,,,,,
80,No concerns,,,,,,,,
81,,,,,,,,,
82,I'm mostly concerned about Rakuten reading emails that aren't relevant to what the app is trying to do.,,,,,,,,
83,N/A,,,,,,,,
84,,,,,,,,,
85,,,,,,,,,
86,Why does WiseStamp need to know my information? This does not make sense for what the extension is for.,,,,,,,,
87,I'm slightly concerned that they could read some of my emails which might have confidential info.,,,,,,,,
88,,,,,,,,,
89,"Truly, I do not remember installing Gleam. I usually check back to make sure nothing has been installed / been given permission for my Google accounts every so often, and it seems this one got in between the last time I checked. After this, I'm likely going to check out Gleam to see what it's purpose is, to either jog my memory or to delete permanently.",,,,,,,,
90,I doesn't need to see anything from my Google account,,,,,,,,
91,,,,,,,,,
92,"I don't think that Lumin PDF needs to see my data, given that the program is only used for editing PDF files. I'm not very concerned overall about the data it has access to, but I do feel as though it shouldn't need some of the data it has.",,,,,,,,
93,none,,,,,,,,
94,,,,,,,,,
95,"not really. I realized after answering questions about it, what it was.",,,,,,,,
96,I don't see why it would need those permissions.,,,,,,,,
97,,,,,,,,,
98,,,,,,,,,
99,"I have none, but I don't need it anymore as I've done what I needed to do with it.",,,,,,,,
100,,,,,,,,,
101,It's a google product using my google account. My concern is low for the app needing this level of permission.,,,,,,,,
102,Its a google company so...,,,,,,,,
103,,,,,,,,,
104,,,,,,,,,
105,,,,,,,,,
106,dont use this so i dont need this,,,,,,,,
107,"I have no concerns, the app just isn't relevant to my life any longer so I plan to remove it.",,,,,,,,
108,,,,,,,,,
109,,,,,,,,,
110,,,,,,,,,
112,,,,,,,,,
113,,,,,,,,,
114,,,,,,,,,
115,No concerns,,,,,,,,
116,,,,,,,,,
117,,,,,,,,,
118,I don't have any other concerns about TpT accessing my account. It's very trustworthy.,,,,,,,,
120,Seems logical and makes sense,,,,,,,,
121,"It's a game, I don't have any major concerns.",,,,,,,,
122,No Concerns,,,,,,,,
123,,,,,,,,,
124,,,,,,,,,
125,,,,,,,,,
126,,,,,,,,,
127,I have this app as a convenience and luxury. This app would seem to lend itself to more marketing and tracking my behavior.,,,,,,,,
128,I don't want them selling my data.,,,,,,,,
129,,,,,,,,,
130,,,,,,,,,
131,I use this app to print my pictures so I guess they have to have access to my computer. I trust this site and don't worry to much about it. I just hope they don't sell my information.,,,,,,,,
132,im not as concerned since i chose to put dropbox on and know i did.,,,,,,,,
133,"Since I don't play the game any longer, I don't want Family Island to have access.",,,,,,,,
134,Dont really have any,,,,,,,,
135,"I am concerned because I am not quite sure Paribus wants the authority to send emails on my behalf, especially since I believe it is not necessary for the service they provide. The viewing email messages/settings also is concerning because this third party only has some relevant emails, and I am not sure if they can see unrelated emails.",,,,,,,,
136,,,,,,,,,
137,,,,,,,,,
138,none,,,,,,,,
139,,,,,,,,,
140,"I realize what this is now, this is so I can have access to my Gmail account on Microsoft Outlook, so I'm ok with it, I just don't know why it needs personal data, etc.",,,,,,,,
141,,,,,,,,,
143,I am concerned that Doodle can get this info since it is a website that I never use.,,,,,,,,
144,no concerns really. ive used it for years and have had no problems with it.,,,,,,,,
145,,,,,,,,,
146,,,,,,,,,
147,"This was for a major purchase so I understand them needing it, I just don't like the idea of it possibly being leaked.",,,,,,,,
148,,,,,,,,,
149,"I'm relatively fine with the permissions this app has. It mentions only specific files used in the app, so it's not even full access it seems.",,,,,,,,
150,,,,,,,,,
151,,,,,,,,,
152,I don't want them to delete anything.,,,,,,,,
153,there should be no need for this app to send messages,,,,,,,,
154,None,,,,,,,,
155,"I like remaining anonymous when possible, but all of these functions help my productivity and workflow in Windows. I have basically no concerns over this.",,,,,,,,
156,,,,,,,,,
157,I am mostly fine with Windows holding these permissions but being able to permanently delete all emails is a bit worrying.,,,,,,,,
158,I know that it needs to use fit data so I have no concerns.,,,,,,,,
159,,,,,,,,,
160,,,,,,,,,
161,I don't remember it asking me for permission to change my games activity so I'm not even sure what it is doing with that information.,,,,,,,,
162,I don't have a problem with this.,,,,,,,,
163,,,,,,,,,
164,I don't really know why they would need ALL personal info.,,,,,,,,
165,"Simply that the app will mess with something - a file - that it shouldn't be messing with. Otherwise, in order for the app to function as designed, it will need these permissions.",,,,,,,,
166,"I am concerned that the adidas Training app has access to all my email accounts, especially since I have removed the app from my phone and I don't see why the app still has to have these permissions.",,,,,,,,
167,,,,,,,,,
168,,,,,,,,,
169,I don't have any concerns with windows holding these permissions.,,,,,,,,
170,none,,,,,,,,
171,I don't know if I want them to be able to delete stuff from my Google Drive.,,,,,,,,
172,,,,,,,,,
173,None,,,,,,,,
174,"Less concerned about this company having these permission, I know they need my date of birth to deliver me wine.",,,,,,,,
175,I don't feel sure they only see the files I use in whatsapp,,,,,,,,
176,,,,,,,,,
178,just makes me think of old worm emails that would get info about who you send and recieve emails from,,,,,,,,
179,,,,,,,,,
180,I don't have any. I trust the service to keep my information secure.,,,,,,,,
181,"The ability to delete items on Google Drive is a bit strange, and I'm not sure why that is necessary.",,,,,,,,
182,I'm not too concerned since I like being constantly updated with my deliveries,,,,,,,,
183,,,,,,,,,
184,I have no concerns,,,,,,,,
185,,,,,,,,,
186,,,,,,,,,
187,,,,,,,,,
188,,,,,,,,,
189,,,,,,,,,
190,"I see it only has permission to view my YouTube account, which I am fine with since it is a public account anyway. I don't post anything or have anything on there that I don't want to the world to potentially see so I don't care who sees it.",,,,,,,,
191,,,,,,,,,
192,,,,,,,,,
193,,,,,,,,,
194,,,,,,,,,
195,"I'm always worried about personal details, but I am pleasantly surprized at how minimal the permissions are.",,,,,,,,
196,"I do not know why the app has to associate itself with my personal data. I do recall seeing more ads for this app after I have downloaded it. Frankly, I am annoyed now that I notice this.",,,,,,,,
197,i dont use it,,,,,,,,
198,"Again worried about it deleting some information I typed out onto a google document and me not realizing it until much later and having to redo it. I am worried about who has my email address and what they can do about it, but all the other information is public so my worry level is low",,,,,,,,
199,,,,,,,,,
200,"I'm a bit concerned about their access to my Youtube Channel, since it seems a bit unnecessary and excessive.",,,,,,,,
201,Privacy concerns,,,,,,,,
202,I have no concerns.,,,,,,,,
203,,,,,,,,,
204,I do not have any.,,,,,,,,
205,,,,,,,,,
206,none,,,,,,,,
207,,,,,,,,,
208,Again my biggest concern is the company using my data for their own profit,,,,,,,,
209,None,,,,,,,,
210,,,,,,,,,
211,"none, really. Mostly that someone else would be able to bypass security functions to access my Drive.",,,,,,,,
212,None.,,,,,,,,
213,"I don't remember authorizing Viki. Therefore, my concerns are that Viki even holds these permissions I don't remember allowing.",,,,,,,,
214,I don't have any concerns about Zoom accessing my calendar,,,,,,,,
216,I do not have any pressing concerns.,,,,,,,,
218,If it shares my files with others.,,,,,,,,
219,This doesn't really bother me since it's really just tracking the time that I play the game and what I do while playing. Not a big deal.,,,,,,,,
220,Tuya Smart connects to my Alexa device therefor it is obvious it has holds of certain permissions. My only concern is that it may share my personal info,,,,,,,,
221,zoom should only be able to modify events on my calendar that zoom has previously entered and whose dates or times or access urls may have vhanged.,,,,,,,,
222,,,,,,,,,
223,,,,,,,,,
224,"I just don't really have a need for this extension anymore, and the fact that they have access to my sending of emails from GMail is concerning since the app is meant to help you just find email addresses at other companies.",,,,,,,,
225,"I have little concern because I operate the OS, and macOS is pretty secure.",,,,,,,,
226,I don't think some of the data that Lumin PDF is asking for is necessary for them to have access to. I'd be curious why they kind certain parts of my data necessary for me to access their site.,,,,,,,,
227,"I am fine with them having this information. It does not bother me... again, as long as they are not selling it to another party.",,,,,,,,
228,,,,,,,,,
229,,,,,,,,,
230,,,,,,,,,
231,I don't have too many concerns. It is another shopping app that requires access to my gmail.,,,,,,,,
232,Pirate Kings' permission doesn't seem like a security concern from my understanding.,,,,,,,,
233,I do not have any concerns.,,,,,,,,
234,No conerns,,,,,,,,
235,"None, It uses google play for many things.",,,,,,,,
236,,,,,,,,,
237,,,,,,,,,
238,"No concerns. The tv has access but it's a Google App, so Google already has this information.",,,,,,,,
239,,,,,,,,,
240,,,,,,,,,
241,,,,,,,,,
242,,,,,,,,,
243,I am not sure why it needs to see my emails,,,,,,,,
244,,,,,,,,,
245,none,,,,,,,,
246,no concerns,,,,,,,,
247,,,,,,,,,
248,I don't know who they're sharing my info with or if it's secure.,,,,,,,,