"id","perm1_concerned","perm1_necessary","perm1_understand","perm2_concerned","perm2_necessary","perm2_understand","perm3_concerned","perm3_necessary","perm3_understand","perm4_concerned","perm4_necessary","perm4_understand","perm5_concerned","perm5_necessary","perm5_understand","perm6_concerned","perm6_necessary","perm6_understand"
"490",,,,,,,,,,,,,,,,,,
"491","Not concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"492",,,,,,,,,,,,,,,,,,
"493","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"494",,,,,,,,,,,,,,,,,,
"495",,,,"Not concerned","Moderately necessary","Confident",,,,,,,,,,,,
"499",,,,,,,,,,,,,,,,,,
"500",,,,,,,,,,,,,,,,,,
"501","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"502",,,,"Slightly concerned","Moderately necessary","Confident",,,,,,,,,,,,
"496","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"497",,,,"Slightly concerned","Moderately necessary","Confident",,,,,,,,,,,,
"498",,,,,,,,,,,,,,,,,,
"503","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"504",,,,"Not concerned","Necessary","Confident",,,,,,,,,,,,
"505",,,,,,,,,,,,,,,,,,
"506",,,,,,,,,,,,,,,,,,
"507","Slightly concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,,,,
"508",,,,"Concerned","Moderately necessary","Slightly confident",,,,,,,,,,,,
"509",,,,,,,"Slightly concerned","Very necessary","Confident",,,,,,,,,
"510",,,,,,,,,,,,,,,,"Slightly concerned","Very necessary","Very confident"
"511",,,,,,,,,,"Slightly concerned","Very necessary","Confident",,,,,,
"512","Not concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"513",,,,"Moderately concerned","Necessary","Confident",,,,,,,,,,,,
"515",,,,,,,,,,,,,,,,,,
"516",,,,"Concerned","Not necessary","Not confident",,,,,,,,,,,,
"517","Concerned","Not necessary","Not confident",,,,,,,,,,,,,,,
"514",,,,,,,,,,,,,,,,,,
"521",,,,,,,,,,,,,"Not concerned","Necessary","Very confident",,,
"522",,,,,,,,,,,,,,,,,,
"523","Not concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"518",,,,,,,,,,,,,,,,,,
"519","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"520",,,,"Not concerned","Not necessary","Very confident",,,,,,,,,,,,
"524",,,,,,,,,,,,,"Not concerned","Necessary","Very confident",,,
"525",,,,,,,,,,,,,,,,,,
"526",,,,,,,,,,,,,,,,,,
"527",,,,,,,,,,,,,,,,,,
"528",,,,"Moderately concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,
"529","Moderately concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,,,,
"533",,,,,,,,,,,,,"Not concerned","Necessary","Confident",,,
"532",,,,,,,,,,,,,,,,,,
"530",,,,,,,,,,,,,,,,,,
"531",,,,,,,,,,,,,,,,,,
"534",,,,,,,,,,,,,,,,,,
"535",,,,,,,,,,,,,,,,,,
"536",,,,"Slightly concerned","Not necessary","Moderately confident",,,,,,,,,,,,
"537","Not concerned","Moderately necessary","Confident",,,,,,,,,,,,,,,
"538",,,,,,,,,,,,,,,,,,
"539",,,,,,,,,,,,,,,,,,
"540",,,,,,,,,,,,,,,,,,
"545",,,,,,,,,,,,,,,,,,
"546","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"547",,,,"Moderately concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,
"541",,,,,,,,,,,,,,,,,,
"542",,,,,,,,,,,,,,,,,,
"543","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"544",,,,"Moderately concerned","Not necessary","Slightly confident",,,,,,,,,,,,
"551",,,,"Slightly concerned","Slightly necessary","Very confident",,,,,,,,,,,,
"552","Slightly concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"553",,,,,,,,,,,,,,,,,,
"554",,,,,,,,,,,,,,,,,,
"550",,,,,,,,,,,,,,,,,,
"548",,,,,,,,,,,,,"Not concerned","Necessary","Very confident",,,
"549",,,,,,,,,,,,,,,,,,
"564",,,,,,,,,,,,,,,,,,
"565",,,,,,,,,,,,,"Not concerned","Slightly necessary","Very confident",,,
"558",,,,,,,,,,,,,"Not concerned","Not necessary","Very confident",,,
"555",,,,,,,,,,"Concerned","Not necessary","Very confident",,,,,,
"556","Slightly concerned","Moderately necessary","Very confident",,,,,,,,,,,,,,,
"557",,,,"Slightly concerned","Moderately necessary","Confident",,,,,,,,,,,,
"559",,,,,,,"Not concerned","Very necessary","Very confident",,,,,,,,,
"560",,,,,,,,,,,,,,,,"Not concerned","Very necessary","Very confident"
"561",,,,,,,,,,"Not concerned","Very necessary","Very confident",,,,,,
"562","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"563",,,,"Slightly concerned","Necessary","Very confident",,,,,,,,,,,,
"566",,,,,,,,,,,,,,,,,,
"568",,,,,,,"Not concerned","Very necessary","Very confident",,,,,,,,,
"569","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"570",,,,,,,,,,,,,,,,,,
"567",,,,,,,,,,,,,,,,,,
"571",,,,,,,"Slightly concerned","Very necessary","Confident",,,,,,,,,
"572",,,,,,,,,,,,,,,,"Not concerned","Necessary","Moderately confident"
"573",,,,,,,,,,"Slightly concerned","Very necessary","Confident",,,,,,
"574","Not concerned","Necessary","Moderately confident",,,,,,,,,,,,,,,
"575",,,,,,,,,,,,,,,,,,
"584",,,,,,,,,,,,,,,,,,
"580",,,,,,,,,,,,,,,,,,
"585",,,,,,,"Not concerned","Necessary","Not confident",,,,,,,,,
"586",,,,,,,,,,,,,,,,"Not concerned","Necessary","Not confident"
"587",,,,,,,,,,"Not concerned","Necessary","Not confident",,,,,,
"588",,,,,,,,,,,,,,,,,,
"589",,,,"Not concerned","Necessary","Not confident",,,,,,,,,,,,
"590","Not concerned","Necessary","Not confident",,,,,,,,,,,,,,,
"576",,,,,,,"Concerned","Not necessary","Not confident",,,,,,,,,
"577",,,,,,,,,,"Concerned","Not necessary","Not confident",,,,,,
"578","Slightly concerned","Necessary","Not confident",,,,,,,,,,,,,,,
"579",,,,"Concerned","Not necessary","Not confident",,,,,,,,,,,,
"581",,,,"Concerned","Not necessary","Not confident",,,,,,,,,,,,
"582",,,,,,,,,,,,,,,,,,
"583","Concerned","Not necessary","Not confident",,,,,,,,,,,,,,,
"596","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"597",,,,"Not concerned","Very necessary","Very confident",,,,,,,,,,,,
"598",,,,,,,,,,,,,,,,,,
"593","Not concerned","Not necessary","Very confident",,,,,,,,,,,,,,,
"594",,,,"Not concerned","Not necessary","Very confident",,,,,,,,,,,,
"595",,,,,,,,,,,,,,,,,,
"591",,,,,,,,,,,,,,,,,,
"592",,,,,,,,,,,,,,,,,,
"602",,,,,,,,,,,,,,,,,,
"603","Not concerned","Slightly necessary","Very confident",,,,,,,,,,,,,,,
"604",,,,"Moderately concerned","Not necessary","Very confident",,,,,,,,,,,,
"599",,,,,,,,,,"Very concerned","Not necessary","Very confident",,,,,,
"600","Concerned","Not necessary","Very confident",,,,,,,,,,,,,,,
"601",,,,"Concerned","Not necessary","Very confident",,,,,,,,,,,,
"611",,,,,,,,,,,,,,,,,,
"609",,,,,,,,,,,,,"Concerned","Not necessary","Not confident",,,
"610",,,,,,,,,,,,,,,,,,
"605","Slightly concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,,,,
"606",,,,"Slightly concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,
"607",,,,,,,,,,,,,,,,,,
"608",,,,,,,,,,,,,,,,,,
"618",,,,,,,,,,,,,"Slightly concerned","Slightly necessary","Slightly confident",,,
"617",,,,,,,,,,,,,"Slightly concerned","Slightly necessary","Moderately confident",,,
"612",,,,,,,"Moderately concerned","Not necessary","Not confident",,,,,,,,,
"613",,,,,,,,,,,,,,,,"Moderately concerned","Not necessary","Not confident"
"614",,,,,,,,,,"Moderately concerned","Not necessary","Not confident",,,,,,
"615","Moderately concerned","Not necessary","Confident",,,,,,,,,,,,,,,
"616",,,,,,,,,,,,,,,,,,
"619",,,,,,,"Slightly concerned","Moderately necessary","Slightly confident",,,,,,,,,
"620",,,,,,,,,,,,,,,,"Slightly concerned","Moderately necessary","Moderately confident"
"621",,,,,,,,,,"Slightly concerned","Moderately necessary","Moderately confident",,,,,,
"622",,,,,,,,,,,,,,,,,,
"623",,,,"Slightly concerned","Moderately necessary","Confident",,,,,,,,,,,,
"624","Not concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"625",,,,,,,,,,,,,,,,,,
"626",,,,,,,,,,,,,,,,,,
"627","Slightly concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"628",,,,"Moderately concerned","Slightly necessary","Moderately confident",,,,,,,,,,,,
"629",,,,,,,,,,,,,,,,,,
"633",,,,,,,,,,,,,,,,,,
"630",,,,,,,"Not concerned","Very necessary","Very confident",,,,,,,,,
"631",,,,,,,,,,,,,,,,,,
"632",,,,,,,,,,,,,,,,,,
"634",,,,,,,,,,,,,,,,,,
"635",,,,,,,,,,,,,,,,,,
"636",,,,,,,,,,,,,,,,,,
"637","Slightly concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,,,,
"638",,,,"Slightly concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,
"642",,,,,,,"Not concerned","Very necessary","Not confident",,,,,,,,,
"643",,,,"Very concerned","Not necessary","Not confident",,,,,,,,,,,,
"644","Not concerned","Very necessary","Not confident",,,,,,,,,,,,,,,
"639",,,,"Very concerned","Not necessary","Not confident",,,,,,,,,,,,
"640","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"641",,,,,,,,,,,,,,,,,,
"645",,,,,,,"Not concerned","Very necessary","Very confident",,,,,,,,,
"646",,,,,,,,,,,,,,,,"Not concerned","Very necessary","Very confident"
"647",,,,,,,,,,"Not concerned","Very necessary","Very confident",,,,,,
"648","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"649",,,,,,,,,,,,,,,,,,
"650",,,,,,,"Not concerned","Very necessary","Very confident",,,,,,,,,
"651",,,,,,,,,,,,,,,,"Not concerned","Not necessary","Confident"
"652",,,,,,,,,,"Not concerned","Not necessary","Confident",,,,,,
"653","Not concerned","Moderately necessary","Very confident",,,,,,,,,,,,,,,
"654",,,,,,,,,,,,,,,,,,
"663",,,,,,,,,,,,,,,,,,
"658",,,,,,,,,,,,,,,,,,
"659",,,,,,,,,,,,,,,,,,
"660",,,,,,,,,,,,,,,,,,
"661","Very concerned","Not necessary","Very confident",,,,,,,,,,,,,,,
"662",,,,"Very concerned","Not necessary","Very confident",,,,,,,,,,,,
"655",,,,,,,,,,,,,,,,,,
"656","Not concerned","Not necessary","Very confident",,,,,,,,,,,,,,,
"657",,,,,,,,,,,,,,,,,,
"668",,,,,,,,,,,,,,,,,,
"669","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"670",,,,"Slightly concerned","Necessary","Confident",,,,,,,,,,,,
"664",,,,,,,,,,,,,,,,,,
"665",,,,,,,,,,,,,,,,,,
"666","Slightly concerned","Not necessary","Not confident",,,,,,,,,,,,,,,
"667",,,,"Moderately concerned","Not necessary","Not confident",,,,,,,,,,,,
"671",,,,,,,,,,,,,"Slightly concerned","Necessary","Confident",,,
"675",,,,,,,,,,,,,,,,,,
"676","Not concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,,,,
"677",,,,"Slightly concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,
"672","Slightly concerned","Necessary","Confident",,,,,,,,,,,,,,,
"673",,,,"Slightly concerned","Necessary","Confident",,,,,,,,,,,,
"674",,,,,,,,,,,,,,,,,,
"678",,,,,,,"Concerned","Very necessary","Confident",,,,,,,,,
"679",,,,"Slightly concerned","Slightly necessary","Confident",,,,,,,,,,,,
"680","Moderately concerned","Necessary","Moderately confident",,,,,,,,,,,,,,,
"681",,,,,,,,,,,,,,,,,,
"682",,,,,,,,,,,,,,,,,,
"683",,,,"Moderately concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,
"684","Moderately concerned","Moderately necessary","Confident",,,,,,,,,,,,,,,
"685",,,,,,,"Concerned","Slightly necessary","Confident",,,,,,,,,
"686",,,,,,,,,,,,,,,,"Concerned","Slightly necessary","Confident"
"687",,,,,,,,,,"Concerned","Slightly necessary","Confident",,,,,,
"688","Not concerned","Moderately necessary","Very confident",,,,,,,,,,,,,,,
"689",,,,,,,,,,,,,,,,,,
"690",,,,,,,"Not concerned","Moderately necessary","Not confident",,,,,,,,,
"691",,,,,,,,,,,,,,,,"Not concerned","Moderately necessary","Slightly confident"
"692",,,,,,,,,,,,,,,,,,
"693",,,,,,,,,,"Not concerned","Moderately necessary","Slightly confident",,,,,,
"694",,,,,,,,,,,,,,,,,,
"695",,,,,,,,,,,,,,,,,,
"696",,,,,,,,,,,,,,,,,,
"697",,,,"Not concerned","Moderately necessary","Slightly confident",,,,,,,,,,,,
"698","Not concerned","Moderately necessary","Slightly confident",,,,,,,,,,,,,,,
"699",,,,,,,,,,,,,,,,,,
"700",,,,,,,,,,,,,,,,,,
"701",,,,,,,,,,,,,,,,,,
"702",,,,"Concerned","Moderately necessary","Not confident",,,,,,,,,,,,
"703","Slightly concerned","Slightly necessary","Not confident",,,,,,,,,,,,,,,
"708",,,,,,,,,,,,,,,,,,
"709",,,,,,,,,,,,,,,,,,
"710",,,,,,,,,,,,,"Not concerned","Moderately necessary","Confident",,,
"711","Not concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"712",,,,,,,,,,,,,,,,,,
"704","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"705",,,,"Slightly concerned","Moderately necessary","Very confident",,,,,,,,,,,,
"706",,,,,,,,,,,,,,,,,,
"707",,,,,,,,,,,,,,,,,,
"719",,,,,,,,,,,,,"Not concerned","Slightly necessary","Confident",,,
"720",,,,"Moderately concerned","Not necessary","Very confident",,,,,,,,,,,,
"721","Moderately concerned","Not necessary","Very confident",,,,,,,,,,,,,,,
"714",,,,,,,"Not concerned","Necessary","Confident",,,,,,,,,
"715",,,,,,,,,,,,,,,,"Not concerned","Necessary","Confident"
"716",,,,,,,,,,"Not concerned","Necessary","Confident",,,,,,
"717",,,,,,,,,,,,,,,,,,
"718","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"713",,,,,,,,,,,,,"Not concerned","Slightly necessary","Confident",,,
"722",,,,,,,"Slightly concerned","Slightly necessary","Confident",,,,,,,,,
"723",,,,,,,,,,,,,,,,"Not concerned","Not necessary","Confident"
"724",,,,,,,,,,"Not concerned","Not necessary","Slightly confident",,,,,,
"725",,,,,,,,,,,,,,,,,,
"726","Not concerned","Necessary","Moderately confident",,,,,,,,,,,,,,,
"737",,,,,,,"Moderately concerned","Moderately necessary","Moderately confident",,,,,,,,,
"738",,,,,,,,,,,,,,,,"Slightly concerned","Moderately necessary","Confident"
"739",,,,,,,,,,"Slightly concerned","Slightly necessary","Confident",,,,,,
"740",,,,,,,,,,,,,,,,,,
"741","Not concerned","Moderately necessary","Confident",,,,,,,,,,,,,,,
"732",,,,,,,,,,,,,,,,,,
"733",,,,,,,,,,,,,,,,,,
"734",,,,,,,,,,,,,,,,,,
"735","Not concerned","Slightly necessary","Confident",,,,,,,,,,,,,,,
"736",,,,"Concerned","Moderately necessary","Slightly confident",,,,,,,,,,,,
"742",,,,,,,"Slightly concerned","Moderately necessary","Moderately confident",,,,,,,,,
"743",,,,"Moderately concerned","Moderately necessary","Moderately confident",,,,,,,,,,,,
"727",,,,,,,,,,"Moderately concerned","Not necessary","Moderately confident",,,,,,
"728",,,,,,,,,,,,,,,,,,
"729","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"730",,,,"Slightly concerned","Slightly necessary","Confident",,,,,,,,,,,,
"731",,,,,,,,,,,,,,,,,,
"744",,,,,,,,,,,,,"Concerned","Not necessary","Slightly confident",,,
"745",,,,,,,,,,,,,,,,,,
"746","Concerned","Not necessary","Confident",,,,,,,,,,,,,,,
"747",,,,,,,,,,,,,"Very concerned","Not necessary","Not confident",,,
"748",,,,,,,,,,,,,"Concerned","Not necessary","Not confident",,,
"749",,,,,,,,,,,,,,,,,,
"750",,,,,,,,,,,,,,,,,,
"751",,,,,,,,,,,,,,,,,,
"752",,,,"Slightly concerned","Slightly necessary","Very confident",,,,,,,,,,,,
"753","Not concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"754",,,,,,,,,,,,,"Not concerned","Necessary","Very confident",,,
"755",,,,,,,,,,,,,,,,,,
"756",,,,,,,,,,,,,,,,,,
"757",,,,"Not concerned","Moderately necessary","Very confident",,,,,,,,,,,,
"758","Not concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"759",,,,,,,,,,,,,,,,,,
"763","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"764",,,,,,,,,,,,,,,,,,
"765",,,,,,,,,,"Not concerned","Very necessary","Very confident",,,,,,
"766",,,,,,,,,,,,,,,,"Not concerned","Very necessary","Very confident"
"767",,,,,,,"Not concerned","Very necessary","Very confident",,,,,,,,,
"760",,,,,,,,,,,,,,,,,,
"761","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"762",,,,"Slightly concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,
"774",,,,,,,,,,,,,,,,,,
"775",,,,,,,,,,,,,,,,,,
"776","Not concerned","Necessary","Moderately confident",,,,,,,,,,,,,,,
"777",,,,"Slightly concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,
"771",,,,,,,,,,,,,,,,,,
"772","Not concerned","Necessary","Moderately confident",,,,,,,,,,,,,,,
"773",,,,"Slightly concerned","Slightly necessary","Moderately confident",,,,,,,,,,,,
"768",,,,,,,,,,,,,,,,,,
"769","Not concerned","Not necessary","Not confident",,,,,,,,,,,,,,,
"770",,,,"Moderately concerned","Moderately necessary","Slightly confident",,,,,,,,,,,,
"786",,,,"Moderately concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,
"787","Slightly concerned","Moderately necessary","Slightly confident",,,,,,,,,,,,,,,
"788",,,,,,,,,,,,,,,,,,
"789",,,,,,,,,,,,,,,,,,
"790",,,,,,,,,,,,,,,,,,
"778",,,,,,,"Not concerned","Very necessary","Very confident",,,,,,,,,
"779",,,,,,,,,,,,,,,,,,
"780",,,,,,,,,,,,,,,,"Not concerned","Slightly necessary","Very confident"
"781",,,,,,,,,,"Slightly concerned","Necessary","Moderately confident",,,,,,
"782",,,,,,,,,,,,,,,,,,
"783","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"784",,,,,,,,,,,,,,,,,,
"785",,,,,,,,,,,,,,,,,,
"796",,,,,,,"Moderately concerned","Necessary","Moderately confident",,,,,,,,,
"797",,,,,,,,,,,,,,,,"Slightly concerned","Necessary","Moderately confident"
"798",,,,,,,,,,"Slightly concerned","Necessary","Moderately confident",,,,,,
"799",,,,,,,,,,,,,,,,,,
"800","Slightly concerned","Necessary","Confident",,,,,,,,,,,,,,,
"791",,,,,,,,,,,,,,,,,,
"792",,,,,,,,,,,,,,,,,,
"793","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"794",,,,,,,,,,,,,,,,,,
"795",,,,,,,,,,,,,,,,,,
"801",,,,,,,,,,,,,,,,,,
"802",,,,,,,,,,,,,"Not concerned","Very necessary","Very confident",,,
"804",,,,,,,,,,,,,"Not concerned","Very necessary","Very confident",,,
"803",,,,,,,,,,,,,"Very concerned","Very necessary","Very confident",,,
"805",,,,,,,,,,,,,,,,,,
"806",,,,,,,,,,"Not concerned","Not necessary","Confident",,,,,,
"807",,,,"Not concerned","Slightly necessary","Confident",,,,,,,,,,,,
"808","Not concerned","Moderately necessary","Confident",,,,,,,,,,,,,,,
"809",,,,,,,,,,,,,,,,,,
"810",,,,,,,,,,,,,,,,,,
"811",,,,"Not concerned","Necessary","Moderately confident",,,,,,,,,,,,
"812","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"813","Slightly concerned","Not necessary","Moderately confident",,,,,,,,,,,,,,,
"814",,,,"Slightly concerned","Not necessary","Moderately confident",,,,,,,,,,,,
"815",,,,,,,,,,,,,,,,,,
"816",,,,,,,,,,,,,,,,,,
"817",,,,,,,,,,,,,,,,,,
"818",,,,,,,,,,,,,"Not concerned","Necessary","Confident",,,
"822","Not concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"823",,,,"Moderately concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,
"824",,,,,,,,,,,,,,,,,,
"825",,,,,,,"Not concerned","Very necessary","Very confident",,,,,,,,,
"826",,,,,,,,,,,,,,,,"Not concerned","Very necessary","Very confident"
"827",,,,,,,,,,"Not concerned","Very necessary","Very confident",,,,,,
"828",,,,,,,,,,,,,,,,,,
"829","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"830",,,,"Moderately concerned","Moderately necessary","Very confident",,,,,,,,,,,,
"819",,,,,,,"Concerned","Moderately necessary","Confident",,,,,,,,,
"820","Not concerned","Moderately necessary","Very confident",,,,,,,,,,,,,,,
"821",,,,"Moderately concerned","Not necessary","Confident",,,,,,,,,,,,
"835",,,,,,,,,,,,,,,,,,
"836",,,,,,,,,,,,,,,,,,
"831",,,,,,,,,,,,,,,,,,
"832","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"833",,,,,,,,,,"Moderately concerned","Slightly necessary","Confident",,,,,,
"834",,,,"Concerned","Not necessary","Moderately confident",,,,,,,,,,,,
"838",,,,,,,,,,,,,,,,,,
"839",,,,"Slightly concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,
"840","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"841",,,,,,,,,,,,,"Not concerned","Very necessary","Very confident",,,
"837",,,,,,,,,,,,,"Not concerned","Very necessary","Confident",,,
"846",,,,,,,,,,,,,,,,,,
"847",,,,,,,,,,,,,,,,,,
"848","Not concerned","Slightly necessary","Very confident",,,,,,,,,,,,,,,
"849",,,,"Not concerned","Not necessary","Very confident",,,,,,,,,,,,
"851",,,,,,,,,,,,,,,,,,
"842",,,,"Not concerned","Slightly necessary","Moderately confident",,,,,,,,,,,,
"843","Not concerned","Necessary","Very confident",,,,,,,,,,,,,,,
